2025-11-10T00:01:01.459+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-webflux-group-1, groupId=webflux-group] Revoke previously assigned partitions webflux_topic-0
2025-11-10T00:01:01.462+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] k.c.c.i.ConsumerRebalanceListenerInvoker : [Consumer clientId=consumer-user-import-group-2, groupId=user-import-group] Revoke previously assigned partitions user-import-0
2025-11-10T00:01:01.465+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : user-import-group: partitions revoked: [user-import-0]
2025-11-10T00:01:01.465+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : webflux-group: partitions revoked: [webflux_topic-0]
2025-11-10T00:01:01.466+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-user-import-group-2, groupId=user-import-group] Member consumer-user-import-group-2-6d53d3b4-68f3-407b-9b15-1f41ed45df43 sending LeaveGroup request to coordinator localhost:9092 (id: 2147483646 rack: null) due to the consumer unsubscribed from all topics
2025-11-10T00:01:01.466+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-webflux-group-1, groupId=webflux-group] Member consumer-webflux-group-1-896cb6dd-a765-400f-9be7-b2c30af0b80a sending LeaveGroup request to coordinator localhost:9092 (id: 2147483646 rack: null) due to the consumer unsubscribed from all topics
2025-11-10T00:01:01.467+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-webflux-group-1, groupId=webflux-group] Resetting generation and member id due to: consumer pro-actively leaving the group
2025-11-10T00:01:01.467+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-user-import-group-2, groupId=user-import-group] Resetting generation and member id due to: consumer pro-actively leaving the group
2025-11-10T00:01:01.468+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-webflux-group-1, groupId=webflux-group] Request joining group due to: consumer pro-actively leaving the group
2025-11-10T00:01:01.468+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-user-import-group-2, groupId=user-import-group] Request joining group due to: consumer pro-actively leaving the group
2025-11-10T00:01:01.468+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.i.ClassicKafkaConsumer         : [Consumer clientId=consumer-webflux-group-1, groupId=webflux-group] Unsubscribed all topics or patterns and assigned partitions
2025-11-10T00:01:01.468+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.c.i.ClassicKafkaConsumer         : [Consumer clientId=consumer-user-import-group-2, groupId=user-import-group] Unsubscribed all topics or patterns and assigned partitions
2025-11-10T00:01:01.470+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-webflux-group-1, groupId=webflux-group] Resetting generation and member id due to: consumer pro-actively leaving the group
2025-11-10T00:01:01.470+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-user-import-group-2, groupId=user-import-group] Resetting generation and member id due to: consumer pro-actively leaving the group
2025-11-10T00:01:01.471+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-webflux-group-1, groupId=webflux-group] Request joining group due to: consumer pro-actively leaving the group
2025-11-10T00:01:01.471+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.k.c.c.internals.ConsumerCoordinator  : [Consumer clientId=consumer-user-import-group-2, groupId=user-import-group] Request joining group due to: consumer pro-actively leaving the group
2025-11-10T00:01:01.709+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.apache.kafka.common.metrics.Metrics    : Metrics scheduler closed
2025-11-10T00:01:01.710+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.apache.kafka.common.metrics.Metrics    : Closing reporter org.apache.kafka.common.metrics.JmxReporter
2025-11-10T00:01:01.710+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.apache.kafka.common.metrics.Metrics    : Metrics scheduler closed
2025-11-10T00:01:01.710+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.apache.kafka.common.metrics.Metrics    : Closing reporter org.apache.kafka.common.metrics.JmxReporter
2025-11-10T00:01:01.710+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.apache.kafka.common.metrics.Metrics    : Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter
2025-11-10T00:01:01.710+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.apache.kafka.common.metrics.Metrics    : Closing reporter org.apache.kafka.common.telemetry.internals.ClientTelemetryReporter
2025-11-10T00:01:01.710+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.apache.kafka.common.metrics.Metrics    : Metrics reporters closed
2025-11-10T00:01:01.710+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.apache.kafka.common.metrics.Metrics    : Metrics reporters closed
2025-11-10T00:01:01.719+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.a.kafka.common.utils.AppInfoParser     : App info kafka.consumer for consumer-webflux-group-1 unregistered
2025-11-10T00:01:01.720+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.a.kafka.common.utils.AppInfoParser     : App info kafka.consumer for consumer-user-import-group-2 unregistered
2025-11-10T00:01:01.720+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#1-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : user-import-group: Consumer stopped
2025-11-10T00:01:01.720+06:00  INFO 2120 --- [icsQuizUserService] [org.springframework.kafka.KafkaListenerEndpointContainer#0-0-C-1] o.s.k.l.KafkaMessageListenerContainer    : webflux-group: Consumer stopped
2025-11-10T00:01:01.724+06:00  INFO 2120 --- [icsQuizUserService] [SpringApplicationShutdownHook] o.s.b.w.embedded.netty.GracefulShutdown  : Commencing graceful shutdown. Waiting for active requests to complete
2025-11-10T00:01:01.728+06:00  INFO 2120 --- [icsQuizUserService] [netty-shutdown] o.s.b.w.embedded.netty.GracefulShutdown  : Graceful shutdown complete
